id,title,channel,durationSeconds,published
Qh12AGIqUQw,"Watched https://www.youtube.com/watch?v=Qh12AGIqUQw","Unknown",510,"2025-01-01T05:10:40.493Z"
rK6_eaFbE1o,"Watched https://www.youtube.com/watch?v=rK6_eaFbE1o","Unknown",5452,"2024-12-31T21:58:22.668Z"
rxBCPglhJes,"Watched https://www.youtube.com/watch?v=rxBCPglhJes","Unknown",844,"2024-12-31T21:45:29.781Z"
XSKk-G70-zs,"Watched https://www.youtube.com/watch?v=XSKk-G70-zs","Unknown",767,"2024-12-31T21:23:46.187Z"
SQgNeBU-sR0,"Watched https://www.youtube.com/watch?v=SQgNeBU-sR0","Unknown",1799,"2024-12-31T20:33:16.831Z"
0OaanOO9NXc,"Watched https://www.youtube.com/watch?v=0OaanOO9NXc","Unknown",14635,"2024-12-31T20:32:37.411Z"
3jrF0mArJLc,"Watched https://www.youtube.com/watch?v=3jrF0mArJLc","Unknown",7747,"2024-12-31T18:16:08.167Z"
_1egd6zxkYk,"Watched https://www.youtube.com/watch?v=_1egd6zxkYk","Unknown",4135,"2024-12-31T17:57:03.187Z"
WyBlh8Tq6_Q,"Watched https://www.youtube.com/watch?v=WyBlh8Tq6_Q","Unknown",921,"2024-12-31T07:59:06.370Z"
YGgvDr5YLKw,"Watched https://www.youtube.com/watch?v=YGgvDr5YLKw","Unknown",5174,"2024-12-31T07:20:17.106Z"
yixEZVAaJXw,"Watched https://www.youtube.com/watch?v=yixEZVAaJXw","Unknown",631,"2024-12-31T07:14:34.389Z"
tCnZzrdjrwA,"Watched https://www.youtube.com/watch?v=tCnZzrdjrwA","Unknown",628,"2024-12-31T07:07:40.800Z"
tDzOCEszZ1c,"Watched https://www.youtube.com/watch?v=tDzOCEszZ1c","Unknown",248,"2024-12-31T07:05:25.815Z"
GEH2ARRAHGU,"Watched https://www.youtube.com/watch?v=GEH2ARRAHGU","Unknown",954,"2024-12-31T06:44:00.218Z"
0hom6soosis,"Watched https://www.youtube.com/watch?v=0hom6soosis","Unknown",11278,"2024-12-31T06:42:32.313Z"
e-f4ApMOmSs,"Watched https://www.youtube.com/watch?v=e-f4ApMOmSs","Unknown",546,"2024-12-31T06:32:25.016Z"
Km-vXXX-hjk,"Watched https://www.youtube.com/watch?v=Km-vXXX-hjk","Unknown",1017,"2024-12-31T06:15:37.433Z"
jfls0BlqRfc,"Watched https://www.youtube.com/watch?v=jfls0BlqRfc","Unknown",709,"2024-12-31T06:03:55.374Z"
sJNlWeFm9B4,"Watched https://www.youtube.com/watch?v=sJNlWeFm9B4","Unknown",551,"2024-12-31T05:43:01.247Z"
iUlSFh8EQv8,"Watched https://www.youtube.com/watch?v=iUlSFh8EQv8","Unknown",1491,"2024-12-31T05:34:13.041Z"
IfOku239Cbc,"Watched https://www.youtube.com/watch?v=IfOku239Cbc","Unknown",1696,"2024-12-31T05:16:26.734Z"
FwIi0XLY2q8,"Watched https://www.youtube.com/watch?v=FwIi0XLY2q8","Unknown",1181,"2024-12-31T04:36:13.095Z"
qSqwBAb1kKU,"Watched https://www.youtube.com/watch?v=qSqwBAb1kKU","Unknown",2553,"2024-12-31T03:52:27.879Z"
VzDfn1pGdgY,"Watched https://www.youtube.com/watch?v=VzDfn1pGdgY","Unknown",1331,"2024-12-31T02:39:25.397Z"
evomeg3eq-I,"Watched https://www.youtube.com/watch?v=evomeg3eq-I","Unknown",12371,"2024-12-30T16:34:08.820Z"
Ktr9dYUumAs,"Watched https://www.youtube.com/watch?v=Ktr9dYUumAs","Unknown",2436,"2024-12-30T15:53:26.945Z"
_EsFyogVvkw,"Watched https://www.youtube.com/watch?v=_EsFyogVvkw","Unknown",5213,"2024-12-30T14:26:27.972Z"
Bd-bNehn9D4,"Watched https://www.youtube.com/watch?v=Bd-bNehn9D4","Unknown",3071,"2024-12-30T13:35:11.477Z"
csIry_3pbDU,"Watched https://www.youtube.com/watch?v=csIry_3pbDU","Unknown",1175,"2024-12-30T13:28:46.773Z"
nIJ_LoMJjSQ,"Watched https://www.youtube.com/watch?v=nIJ_LoMJjSQ","Unknown",1125,"2024-12-30T11:13:32.959Z"
ZOiMsuRYgjU,"Watched https://www.youtube.com/watch?v=ZOiMsuRYgjU","Unknown",1142,"2024-12-30T06:25:41.372Z"
5AZ3pTYvFb4,"Watched https://www.youtube.com/watch?v=5AZ3pTYvFb4","Unknown",1075,"2024-12-30T06:00:17.417Z"
Z6fb72MoFdo,"Watched https://www.youtube.com/watch?v=Z6fb72MoFdo","Unknown",744,"2024-12-30T05:59:07.104Z"
v7eDxVWZsGA,"Watched https://www.youtube.com/watch?v=v7eDxVWZsGA","Unknown",1836,"2024-12-29T23:25:29.852Z"
hjcvPFZv9m0,"Watched https://www.youtube.com/watch?v=hjcvPFZv9m0","Unknown",1323,"2024-12-29T23:05:02.996Z"
KCOALkhOvyM,"Watched https://www.youtube.com/watch?v=KCOALkhOvyM","Unknown",987,"2024-12-29T23:01:55.448Z"
yzH6Dbh7icQ,"Watched https://www.youtube.com/watch?v=yzH6Dbh7icQ","Unknown",513,"2024-12-29T22:31:50.890Z"
H4CCUS4NVH0,"Watched https://www.youtube.com/watch?v=H4CCUS4NVH0","Unknown",1042,"2024-12-29T22:26:31.506Z"
4ynRuPuU0jQ,"Watched https://www.youtube.com/watch?v=4ynRuPuU0jQ","Unknown",540,"2024-12-29T22:17:45.646Z"
MHOctVLw2Cg,"Watched https://www.youtube.com/watch?v=MHOctVLw2Cg","Unknown",9380,"2024-12-29T19:59:01.751Z"
NTUJSjzUcJ4,"Watched https://www.youtube.com/watch?v=NTUJSjzUcJ4","Unknown",13378,"2024-12-29T11:49:59.598Z"
MHOctVLw2Cg,"Watched https://www.youtube.com/watch?v=MHOctVLw2Cg","Unknown",9380,"2024-12-29T19:59:01.751Z"
pdlvwL9-8qw,"Watched https://www.youtube.com/watch?v=pdlvwL9-8qw","Unknown",1074,"2024-12-29T03:28:49.304Z"
iLRPDzs3bRQ,"Watched https://www.youtube.com/watch?v=iLRPDzs3bRQ","Unknown",2640,"2024-12-28T20:10:32.495Z"
o8oyCq6jnq4,"Watched https://www.youtube.com/watch?v=o8oyCq6jnq4","Unknown",12491,"2024-12-28T19:11:29.972Z"
QJKnWZwq_s0,"Watched https://www.youtube.com/watch?v=QJKnWZwq_s0","Unknown",3233,"2024-12-28T18:17:31.219Z"
iys_pmJSp9M,"Watched https://www.youtube.com/watch?v=iys_pmJSp9M","Unknown",1546,"2024-12-28T17:27:02.548Z"
wuHd91oFCsU,"Watched https://www.youtube.com/watch?v=wuHd91oFCsU","Unknown",950,"2024-12-28T17:24:46.903Z"
fbXUCck33fI,"Watched https://www.youtube.com/watch?v=fbXUCck33fI","Unknown",6199,"2024-12-28T11:15:36.199Z"
FkZ4EU7lR-c,"Watched https://www.youtube.com/watch?v=FkZ4EU7lR-c","Unknown",1250,"2024-12-28T10:59:21.548Z"
BPAL-s7_088,"Watched https://www.youtube.com/watch?v=BPAL-s7_088","Unknown",14368,"2024-12-27T11:49:06.786Z"
TjKcgBxLnQY,"Watched https://www.youtube.com/watch?v=TjKcgBxLnQY","Unknown",13790,"2024-12-27T07:59:11.645Z"
ZwdSmSrqObs,"Watched https://www.youtube.com/watch?v=ZwdSmSrqObs","Unknown",1670,"2024-12-27T07:29:31.350Z"
2Sc1DknXD0Y,"Watched https://www.youtube.com/watch?v=2Sc1DknXD0Y","Unknown",520,"2024-12-27T07:25:35.170Z"
CdrQqRY8wuc,"Watched https://www.youtube.com/watch?v=CdrQqRY8wuc","Unknown",2393,"2024-12-27T07:10:41.360Z"
IuOYvC94tdM,"Watched https://www.youtube.com/watch?v=IuOYvC94tdM","Unknown",703,"2024-12-27T00:37:02.545Z"
dPlzFvgJuww,"Watched https://www.youtube.com/watch?v=dPlzFvgJuww","Unknown",509,"2024-12-27T00:35:49.365Z"
h-hQTFstvTY,"Watched https://www.youtube.com/watch?v=h-hQTFstvTY","Unknown",1021,"2024-12-26T22:31:59.887Z"
SQQiwgRSVUM,"Watched https://www.youtube.com/watch?v=SQQiwgRSVUM","Unknown",3808,"2024-12-26T06:29:26.601Z"
Z6VcxcGm5Y4,"Watched https://www.youtube.com/watch?v=Z6VcxcGm5Y4","Unknown",2313,"2024-12-26T06:13:33.511Z"
TGijgZGWLFY,"Watched https://www.youtube.com/watch?v=TGijgZGWLFY","Unknown",849,"2024-12-26T06:02:29.178Z"
kTctVqjhDEw,"Watched https://www.youtube.com/watch?v=kTctVqjhDEw","Unknown",1991,"2024-12-26T05:30:41.303Z"
6Ijty8j1oS4,"Watched https://www.youtube.com/watch?v=6Ijty8j1oS4","Unknown",12168,"2024-12-26T05:24:46Z"
GFYWOZYZovs,"Watched https://www.youtube.com/watch?v=GFYWOZYZovs","Unknown",1308,"2024-12-25T23:08:34.329Z"
MDaZtm15O34,"Watched https://www.youtube.com/watch?v=MDaZtm15O34","Unknown",438,"2024-12-25T23:06:21.725Z"
d2j8cIpY4RA,"Watched https://www.youtube.com/watch?v=d2j8cIpY4RA","Unknown",6012,"2024-12-25T20:14:06.401Z"
_Qe_0aj4eEM,"Watched https://www.youtube.com/watch?v=_Qe_0aj4eEM","Unknown",1305,"2024-12-25T06:21:35.344Z"
jCeTYcG-ydM,"Watched https://www.youtube.com/watch?v=jCeTYcG-ydM","Unknown",258,"2024-12-25T03:37:52.114Z"
MI9OiOW9Iek,"Watched https://www.youtube.com/watch?v=MI9OiOW9Iek","Unknown",2106,"2024-12-25T03:30:18.545Z"
IaXdSGkh8Ww,"Watched https://www.youtube.com/watch?v=IaXdSGkh8Ww","Unknown",1748,"2024-12-25T03:12:46.739Z"
Hqt-6bl49wM,"Watched https://www.youtube.com/watch?v=Hqt-6bl49wM","Unknown",535,"2024-12-25T03:01:44.951Z"
ZB5Tn6pLogc,"Watched https://www.youtube.com/watch?v=ZB5Tn6pLogc","Unknown",2314,"2024-12-25T02:12:08.742Z"
uLRKXEHxZ-U,"Watched https://www.youtube.com/watch?v=uLRKXEHxZ-U","Unknown",2717,"2024-12-25T01:59:00.564Z"
T_Ht_DQC68I,"Watched https://www.youtube.com/watch?v=T_Ht_DQC68I","Unknown",2162,"2024-12-24T23:48:09.668Z"
